signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
beta+funding,W,q20,20000000.0,fund63,0.25,0.830796751822292,0.25116431673640394,0.3023174033666999,-0.5895916118098528,27.688459640850134,-0.3017864943719494,1.6757428163094799,1704,
beta+idvol,M,rank,5000000.0,fund90,0.5,0.8294255051640234,0.15242826556959868,0.1837757153844156,-0.2689758003777433,8.297761680013778,0.6227020116853345,1.0163094950377816,1673,
funding,W,rank,5000000.0,fund63,7.0,0.8273495507719406,0.1370441791442937,0.16564241681938136,-0.2306171433507578,55.238891437319744,-0.04640484968021163,1.5339943177430595,1704,
beta+idvol,W,rank,20000000.0,fund63,0.5,0.8242111097398218,0.19797327606735698,0.24019729135882562,-0.3720005886810358,17.27865452472478,0.33146516443697943,1.2452004009033744,1704,
beta+funding,M,q20,20000000.0,none,0.5,0.8235468473287054,0.309330972873427,0.37560822906041974,-0.41746543762822386,27.534453216711135,0.7848423045682776,0.8654686644838575,2007,
beta+funding,M,q20,50000000.0,fund63,0.5,0.8228221584935673,0.28747522167905065,0.349377102587227,-0.3457946787062611,19.116735589924133,0.6133837046475553,1.0060393763201136,1704,
beta+funding,W,rank,5000000.0,fund90,0.5,0.8218929775070031,0.14205265933913097,0.17283595702449053,-0.345484367909613,22.897841276124172,-0.1779346862821074,1.595937947909888,1673,
beta+funding,W,q20,5000000.0,fund90,0.5,0.8218182776522192,0.18500904365607507,0.22512159766586262,-0.379002525299428,29.398258714273044,0.07688458644878231,1.4064994141631009,1673,
beta+idvol,W,q20,50000000.0,fund90,0.25,0.8201761230192733,0.2922236446620519,0.3562937721062929,-0.3461840640307571,22.13089399195836,0.29712360783974584,1.3086164104171423,1673,
beta+idvol,M,q20,20000000.0,fund63,0.25,0.8190077423125729,0.25193037998903073,0.30760439367480596,-0.4578691111403255,13.946936878506232,0.5300901585759011,1.0689888663112415,1704,
funding,W,q20,5000000.0,fund90,7.0,0.8187355436424926,0.18066993187612607,0.22066946192703346,-0.26162793010373175,64.64375942454495,0.16106567675126757,1.3297805118409467,1673,
beta+funding,W,rank,20000000.0,none,0.5,0.8184967228378495,0.2586837472517601,0.3160473830058417,-0.4935820603346529,35.71299016161242,0.7327471134718174,0.9326472574754763,2021,
beta+idvol,M,q20,20000000.0,none,0.75,0.8181596756280952,0.3058936971689819,0.3738801926826197,-0.7411928375966785,17.74407505500966,0.12647879722118807,1.6072936298752714,2007,
beta+idvol,W,q20,50000000.0,none,0.5,0.8167555701842116,0.350778733771342,0.42947822650566925,-0.4480890135536071,33.100127100693946,0.47909195626611273,1.2043750746813178,2021,
beta_horizon,W,rank,20000000.0,fund90,1095.0,0.8141080040140352,0.1831946178147158,0.2250249560395644,-0.39198827276344805,14.487473657594144,0.12856157595494516,1.3206331305958083,1673,
beta+funding,M,rank,20000000.0,fund63,0.25,0.8081978705825777,0.1838954089892336,0.2275376064238764,-0.25347152793068395,13.928174939325213,0.25987225993450663,1.23593339676197,1704,
beta+idvol,M,q20,5000000.0,fund63,0.25,0.8075612411905538,0.20853677872223697,0.2582302964599934,-0.3677098369847035,11.434552046799329,0.14112737162442227,1.3414821390794747,1704,
beta+funding,M,rank,20000000.0,fund90,0.25,0.8072516777657416,0.17701104130236237,0.21927615163623065,-0.2420959207020308,12.8970674468614,0.22747855819214155,1.2666999011894362,1673,
funding,W,q20,50000000.0,fund90,7.0,0.8051564271156357,0.26890559387420054,0.33397931733280517,-0.6885203098752346,64.89678452527394,0.16179399418388066,1.3828050851127431,1673,
beta_horizon,W,rank,5000000.0,fund63,1095.0,0.8023898093468734,0.15005582571738305,0.1870111309608044,-0.3135577545010496,11.233209220449647,-0.008570073964905223,1.4480530562128466,1704,
beta+funding,M,q20,20000000.0,fund63,0.5,0.8022246846214719,0.2323384550647089,0.2896176838217554,-0.2976293611104732,19.329989775804556,0.2974999240156404,1.2043643589248454,1704,
funding,W,rank,50000000.0,disp63,7.0,0.8011243615997213,0.3033744525945635,0.37868584097077224,-0.6295832574464686,96.88223484594134,0.5101753385183291,1.1338438975187128,1734,
beta+funding,W,q20,5000000.0,none,0.5,0.7971650244828251,0.3024108353962674,0.37935788213044314,-0.6477496383011125,42.1514469650922,0.5536866475001703,1.1991551277710732,2021,
beta_horizon,M,q20,5000000.0,fund63,1095.0,0.7970270904300468,0.2063254534600376,0.25886880877375434,-0.44517128514487986,9.711763415904812,-0.2894795331399308,1.563504343676878,1704,
funding,W,rank,5000000.0,disp63,21.0,0.7936907794465662,0.2365553447803113,0.29804471830359336,-0.27805599813320137,52.650151323657006,0.623020820197066,0.9474401554780109,1734,
beta_horizon,W,rank,20000000.0,fund63,1095.0,0.7936529400536924,0.18643683176220177,0.23490977271449265,-0.3745773058621864,15.656229445235828,0.032085908650125325,1.3691125489309832,1704,
