signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,eqw_top25,730,180,3.0,0.6,M,rank,5000000.0,fund90,1.163338731086679,0.24376544567753788,0.20953952547409446,-0.2591166683831718,9.302809756880043,0.5671555213106196,1.7029466461711529,1673
beta,advw_top100,730,180,3.0,0.6,M,rank,5000000.0,fund63,1.162261588760029,0.2319313306413053,0.19955174711464366,-0.2509637695165896,9.226120207530421,0.47509313196254493,1.7363020624400844,1704
beta,eqw_top25,730,180,3.0,0.6,M,rank,5000000.0,fund63,1.1603331596610407,0.2561546358291709,0.22075955831857758,-0.252379256022063,10.229670800118372,0.4124175307124525,1.799631008821067,1704
beta,eqw_top25,730,180,3.0,0.6,W,q20,50000000.0,none,1.159039086908672,0.5853661850335595,0.5050443868936443,-0.5938542913716467,34.13617800494072,0.8330327841303076,1.5281320098366968,2021
beta,sqrt_advw,730,180,3.0,0.8,M,q20,20000000.0,fund63,1.1580057597162148,0.39421274187200245,0.3404238178993252,-0.36791685485622116,14.626382979231966,1.2348942556650764,1.0927595928473646,1704
beta,eqw_top100,365,180,3.0,0.4,M,q20,50000000.0,fund63,1.1571144550786663,0.5073337182869347,0.43844730835416246,-0.468241810337917,16.487190809885263,0.6313675913082047,1.5946633012335907,1704
beta,advw,730,180,3.0,0.4,M,q20,5000000.0,fund63,1.1570570535944715,0.30544160557778216,0.26398145590911726,-0.3344019629011733,11.241065639877721,0.35955422799826625,1.772072802432031,1704
beta,eqw_top100,365,180,3.0,0.6,M,q20,50000000.0,fund90,1.1552949494630116,0.4900633595592857,0.42418895693006375,-0.5179057890164149,15.493052758940667,0.8444060068011944,1.4298850499127285,1673
beta,eqw_top25,730,180,3.0,1.0,W,q20,50000000.0,none,1.1542102549245083,0.6946445220175772,0.6018353407048966,-0.8165800381092458,38.345888986385276,0.9323864044282316,1.4060009788159005,2021
beta,advw,730,180,3.0,0.8,M,q20,20000000.0,fund63,1.1539675878686466,0.37149277864706975,0.32192652770534824,-0.31839037240530477,14.176104034981586,1.0448755083074872,1.2533232741343525,1704
beta,eqw_top100,365,180,3.0,1.0,M,q20,50000000.0,none,1.1535721771948595,0.7451667117307886,0.6459645321394711,-0.5718862187085261,25.374708203566605,1.0571288754626662,1.25344745637989,2007
beta,advw,730,180,3.0,0.6,M,q20,20000000.0,none,1.153361452535226,0.4482840516940438,0.38867611771544985,-0.6359789059689986,18.71374858081626,0.7869225692200481,1.5832408654035395,2007
beta,advw_top100,730,180,3.0,1.0,M,q20,20000000.0,none,1.1529817378851122,0.5107318660571963,0.44296613664846074,-0.7331437791840026,18.580066578127816,0.9761307779681532,1.365459451330116,2007
beta,advw,730,180,3.0,0.6,M,rank,5000000.0,fund63,1.1527481097211578,0.22895032811990879,0.19861262507321772,-0.25091652619689464,9.186516256189138,0.4585712124478666,1.7340655685125235,1704
beta,eqw,730,180,3.0,0.4,W,q20,20000000.0,fund90,1.1514728946885466,0.3671547230005463,0.31885659201717925,-0.5660176219463464,21.1383749778878,0.6123405529007169,1.5754606117053238,1673
beta,eqw_top100,730,180,3.0,0.6,W,q20,50000000.0,fund90,1.1508104454042203,0.4444514244904187,0.3862073256854267,-0.36673223465135574,23.529207426314716,0.747494544168995,1.5094494054039935,1673
beta,sqrt_advw,365,180,3.0,1.0,M,q20,50000000.0,none,1.1504610952422636,0.674748414165695,0.5865025918356732,-0.5186520871351479,23.483456751874243,1.1000545268452722,1.201873361249409,2007
beta,advw,730,180,3.0,0.6,M,rank,5000000.0,fund90,1.1500907390314292,0.2160183848365481,0.18782725354216143,-0.26075462768640867,8.353226239037172,0.5695224042513252,1.6689573928897399,1673
beta,sqrt_advw,730,180,3.0,0.4,M,q20,5000000.0,fund63,1.1485836220738257,0.3113187633869153,0.2710457971051455,-0.30304743485379054,11.574109143103419,0.2521450294727479,1.8560644598587157,1704
beta,eqw_top100,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.148169463184317,0.38845061477776216,0.3383216739630391,-0.29478773264805325,15.038087285940174,1.0224768344099966,1.2626071195543245,1704
beta,eqw,730,180,3.0,0.6,W,q20,20000000.0,none,1.1479752115112578,0.633597124475223,0.5519257890953244,-0.7463187177853485,28.88970076027202,1.0146939769975052,1.5114917807602584,2021
beta,eqw,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.1466183135009695,0.22840081943421353,0.19919516088735517,-0.2334025040131366,9.373992523827473,0.22052349891361733,1.9161036293523934,1704
beta,advw,730,180,3.0,0.8,M,q20,20000000.0,none,1.146310989523157,0.46512097851795864,0.40575461874568597,-0.6592741290023223,18.695283149905098,0.826956748358458,1.5329876830901858,2007
beta,eqw_top25,730,180,3.0,0.8,W,q20,20000000.0,none,1.1461317604542214,0.6843379498650513,0.597084884545772,-0.8209490716681029,32.29604362214033,1.050518489966953,1.406132637630795,2021
